Dataset,Number of Citations,Cumulative Citations to Papers
ds004505,4,2
ds004511,2,2
ds004883,2,3
ds002799,8,38
ds004317,1,0
ds003478,11,32
ds002001,3,8
ds005034,1,0
ds004100,8,28
ds003848,1,10
ds003690,5,12
ds004706,2,1
ds003082,5,63
ds004276,2,6
ds003519,3,6
ds004262,1,0
ds004504,31,76
ds004738,1,0
ds003876,3,44
ds003645,2,19
ds003490,12,30
ds004473,1,1
ds004315,1,0
ds004117,1,1
ds003522,5,2
ds004067,1,5
ds002761,1,56
ds003655,4,18
ds004660,1,1
ds003682,1,22
ds003523,3,0
ds004502,3,5
ds003509,4,2
ds001849,1,35
ds003694,1,30
ds004306,1,0
ds004448,1,0
ds004475,2,7
ds003483,3,5
ds003078,1,89
ds004703,2,1
ds002158,1,58
ds004515,4,3
ds004200,1,5
ds004572,2,0
ds003751,6,33
ds004770,2,0
ds003194,2,20
ds003816,1,0
ds005095,7,75
ds003195,2,20
ds004771,2,0
ds004017,1,0
ds004995,1,0
ds004942,1,0
ds004215,7,8
ds005121,1,1
ds001810,6,21
ds004015,2,13
ds003801,1,13
ds003626,6,55
ds002712,1,1
ds004362,1,0
ds003343,1,5
ds002908,1,5
ds003380,2,5
ds004148,5,15
ds003633,1,3
ds001971,2,42
ds004809,1,0
ds003800,4,2
ds004000,6,4
ds004212,2,25
ds004574,1,4
ds002893,1,49
ds003555,8,23
ds004789,1,0
ds004951,1,0
ds004819,1,0
ds003810,2,4
ds001785,1,39
ds003838,6,26
ds004602,3,12
ds003421,2,14
ds003420,2,11
ds003352,4,40
ds004398,1,7
ds004603,1,0
ds001784,1,124
ds003805,3,1
ds004011,1,3
ds004944,1,3
ds004561,2,1
ds003568,4,15
ds004588,1,2
ds004563,1,1
ds004952,1,0
ds003768,16,31
ds002338,10,85
ds003620,3,51
ds000117,73,2028
ds004370,1,0
ds004166,1,0
ds001787,5,38
ds003190,4,20
ds000248,4,133
ds002885,1,21
ds004584,1,2
ds004802,1,0
ds004194,4,16
ds003638,1,21
ds004369,1,1
ds002718,10,126
ds003374,4,25
ds002724,2,20
ds002725,2,20
ds002094,29,305
ds004022,1,1
ds004977,1,0
ds004785,1,0
ds004752,1,0
ds003029,15,153
ds000246,1,123
ds004626,1,1
ds004381,1,1
ds004395,2,4
ds004356,2,3
ds005048,1,0
ds004357,2,2
ds004196,1,1
ds002336,4,34
ds000247,3,186
ds003766,1,5
ds004784,1,0
ds003969,6,3
ds004551,3,2
ds003570,1,0
ds004579,1,4
ds002691,2,14
ds003574,1,45
ds003004,7,31
ds004019,1,1
ds004186,1,0
ds003825,3,24
ds002722,3,23
ds005065,2,0
ds002723,2,20
ds004024,1,0
ds003039,2,51
ds003987,1,16
ds003944,7,2
ds002680,7,99
ds004595,2,0
ds003775,3,4
ds004152,1,0
ds004350,1,0
ds002721,11,41
ds002720,2,20
ds004147,2,0
ds004635,2,2
ds003774,8,29
ds004033,2,12
ds003947,7,3
ds004796,1,0
ds004580,1,4
ds002814,4,57
ds004295,1,0
ds003505,5,29
ds003061,5,50
ds004040,1,1
ds004444,1,0
ds002034,7,20
ds002578,1,49
ds004860,1,0
ds004519,3,2
ds002181,1,9
ds003506,3,2
ds004902,1,1
ds004080,2,24
ds003710,1,4
ds004043,1,12
ds003670,6,10
ds002778,34,317
ds004447,1,0
ds004446,1,0
ds003498,4,95
ds003739,4,15
ds004718,1,0
ds003922,1,6
ds003517,5,8
ds003846,3,24
ds003885,2,2
ds004330,1,4
ds004457,3,4
ds002218,1,8
ds004127,1,4
ds004696,1,2
ds003516,2,18
ds004284,1,0
ds004521,3,4
ds003702,4,15
ds004657,1,1
ds003474,8,7
ds004483,2,0
ds004642,1,1
ds003887,3,2
ds003688,3,15
ds003703,1,14
ds004078,3,8
ds004252,1,3
ds004520,3,4
