dataset_id,retrieved_citations_count
ds001868,0
ds002312,0
ds002844,0
ds003552,0
ds003722,0
ds005515,0
ds005628,0
ds005648,0
ds005857,0
ds006012,0
ds006035,0
ds006040,0
ds006095,0
ds006104,0
ds006107,0
ds006126,0
ds006171,0
ds006233,0
ds006234,0
ds000117,78
ds002001,4
ds002336,5
ds002550,1
ds003029,22
ds003061,5
ds003343,1
ds003420,3
ds003474,9
ds003478,33
ds003490,13
ds003505,6
ds003509,7
ds003555,9
ds003565,3
ds003568,6
ds003626,6
ds003688,11
ds003690,6
ds003768,21
ds004022,2
ds004078,5
ds004100,24
ds004186,9
ds004306,2
ds004362,3
ds004504,78
ds004514,3
ds004517,3
ds004584,5
ds004598,1
ds004621,2
ds004625,2
ds004789,5
ds004796,4
ds004809,3
ds004883,4
ds004902,9
ds005048,3
ds005106,1
ds005234,4
ds005261,1
ds005273,1
ds005296,1
ds005383,1
ds005403,2
ds005411,1
ds005545,1
ds005815,1
ds005866,1
ds005868,1
ds005931,1
ds005960,1
ds006018,1
ds006036,1
ds006065,1
